Areaw,Area,Assessment Url,Asses Year,Biomass,Bref,Bref Point,B Bref,Catch,Common Name,DOWNLOAD URL DUMMY,LOGTC,LOGSSB,LOGR,Fref,Fref Point,F,F Division,F Divname,F Fmsy,F Gsa Lib,F Subarea,F Subname,ID,Landings,Meeting,Method,Number of Records,R,Scientific Name,Smu Name,SSB,Status,Stock Long,Stockid,Stock,TC,Version,Year
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/2187146/STECF+18-12+-+2018+MED+stock+assessments+part+1.pdf/12842d0d-7761-4214-b2f7-7de7a4831ff7,2018,1578,,NA,,225,Blue and red shrimp,STATUS,225,200.3,268329,0.42,F0.1,1.14001,37.1.1,Balearic,2.714309524,GSA1,37.1,Western Mediterranean,ARA_1_EWG18_12_2004,225,EWG18_12,a4a,1,268329,Aristeus antennatus,Northern Alboran Sea,200.3,OVERFISHING,Blue and red shrimp in SA 01,ARA_1_EWG18_12,ARA,225,24_01_2019,2004
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/2187146/STECF+18-12+-+2018+MED+stock+assessments+part+1.pdf/12842d0d-7761-4214-b2f7-7de7a4831ff7,2018,1703,,NA,,233,Blue and red shrimp,STATUS,233,212.88,294831,0.42,F0.1,1.22354,37.1.1,Balearic,2.913190476,GSA1,37.1,Western Mediterranean,ARA_1_EWG18_12_2005,233,EWG18_12,a4a,1,294831,Aristeus antennatus,Northern Alboran Sea,212.88,OVERFISHING,Blue and red shrimp in SA 01,ARA_1_EWG18_12,ARA,233,24_01_2019,2005
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/2187146/STECF+18-12+-+2018+MED+stock+assessments+part+1.pdf/12842d0d-7761-4214-b2f7-7de7a4831ff7,2018,1294,,NA,,289,Blue and red shrimp,STATUS,289,193.25,197886,0.42,F0.1,1.19254,37.1.1,Balearic,2.839380952,GSA1,37.1,Western Mediterranean,ARA_1_EWG18_12_2006,289,EWG18_12,a4a,1,197886,Aristeus antennatus,Northern Alboran Sea,193.25,OVERFISHING,Blue and red shrimp in SA 01,ARA_1_EWG18_12,ARA,289,24_01_2019,2006
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/2187146/STECF+18-12+-+2018+MED+stock+assessments+part+1.pdf/12842d0d-7761-4214-b2f7-7de7a4831ff7,2018,930,,NA,,178,Blue and red shrimp,STATUS,178,168.51,129321,0.42,F0.1,0.87628,37.1.1,Balearic,2.086380952,GSA1,37.1,Western Mediterranean,ARA_1_EWG18_12_2007,178,EWG18_12,a4a,1,129321,Aristeus antennatus,Northern Alboran Sea,168.51,OVERFISHING,Blue and red shrimp in SA 01,ARA_1_EWG18_12,ARA,178,24_01_2019,2007
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/2187146/STECF+18-12+-+2018+MED+stock+assessments+part+1.pdf/12842d0d-7761-4214-b2f7-7de7a4831ff7,2018,858,,NA,,133,Blue and red shrimp,STATUS,133,162.95,129504,0.42,F0.1,0.62654,37.1.1,Balearic,1.491761905,GSA1,37.1,Western Mediterranean,ARA_1_EWG18_12_2008,133,EWG18_12,a4a,1,129504,Aristeus antennatus,Northern Alboran Sea,162.95,OVERFISHING,Blue and red shrimp in SA 01,ARA_1_EWG18_12,ARA,133,24_01_2019,2008
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/2187146/STECF+18-12+-+2018+MED+stock+assessments+part+1.pdf/12842d0d-7761-4214-b2f7-7de7a4831ff7,2018,811,,NA,,145,Blue and red shrimp,STATUS,145,158.9,146270,0.42,F0.1,0.67626,37.1.1,Balearic,1.610142857,GSA1,37.1,Western Mediterranean,ARA_1_EWG18_12_2009,145,EWG18_12,a4a,1,146270,Aristeus antennatus,Northern Alboran Sea,158.9,OVERFISHING,Blue and red shrimp in SA 01,ARA_1_EWG18_12,ARA,145,24_01_2019,2009
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/2187146/STECF+18-12+-+2018+MED+stock+assessments+part+1.pdf/12842d0d-7761-4214-b2f7-7de7a4831ff7,2018,946,,NA,,152,Blue and red shrimp,STATUS,152,166.08,141882,0.42,F0.1,0.82511,37.1.1,Balearic,1.964547619,GSA1,37.1,Western Mediterranean,ARA_1_EWG18_12_2010,152,EWG18_12,a4a,1,141882,Aristeus antennatus,Northern Alboran Sea,166.08,OVERFISHING,Blue and red shrimp in SA 01,ARA_1_EWG18_12,ARA,152,24_01_2019,2010
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/2187146/STECF+18-12+-+2018+MED+stock+assessments+part+1.pdf/12842d0d-7761-4214-b2f7-7de7a4831ff7,2018,941,,NA,,132,Blue and red shrimp,STATUS,132,167.77,149373,0.42,F0.1,0.67307,37.1.1,Balearic,1.602547619,GSA1,37.1,Western Mediterranean,ARA_1_EWG18_12_2011,132,EWG18_12,a4a,1,149373,Aristeus antennatus,Northern Alboran Sea,167.77,OVERFISHING,Blue and red shrimp in SA 01,ARA_1_EWG18_12,ARA,132,24_01_2019,2011
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/2187146/STECF+18-12+-+2018+MED+stock+assessments+part+1.pdf/12842d0d-7761-4214-b2f7-7de7a4831ff7,2018,1068,,NA,,149,Blue and red shrimp,STATUS,149,179.24,175781,0.42,F0.1,0.77814,37.1.1,Balearic,1.852714286,GSA1,37.1,Western Mediterranean,ARA_1_EWG18_12_2012,149,EWG18_12,a4a,1,175781,Aristeus antennatus,Northern Alboran Sea,179.24,OVERFISHING,Blue and red shrimp in SA 01,ARA_1_EWG18_12,ARA,149,24_01_2019,2012
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/2187146/STECF+18-12+-+2018+MED+stock+assessments+part+1.pdf/12842d0d-7761-4214-b2f7-7de7a4831ff7,2018,1071,,NA,,125,Blue and red shrimp,STATUS,125,206.52,169220,0.42,F0.1,0.53843,37.1.1,Balearic,1.281976191,GSA1,37.1,Western Mediterranean,ARA_1_EWG18_12_2013,125,EWG18_12,a4a,1,169220,Aristeus antennatus,Northern Alboran Sea,206.52,OVERFISHING,Blue and red shrimp in SA 01,ARA_1_EWG18_12,ARA,125,24_01_2019,2013
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/2187146/STECF+18-12+-+2018+MED+stock+assessments+part+1.pdf/12842d0d-7761-4214-b2f7-7de7a4831ff7,2018,985,,NA,,184,Blue and red shrimp,STATUS,184,195.85,139172,0.42,F0.1,0.75681,37.1.1,Balearic,1.801928571,GSA1,37.1,Western Mediterranean,ARA_1_EWG18_12_2014,184,EWG18_12,a4a,1,139172,Aristeus antennatus,Northern Alboran Sea,195.85,OVERFISHING,Blue and red shrimp in SA 01,ARA_1_EWG18_12,ARA,184,24_01_2019,2014
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/2187146/STECF+18-12+-+2018+MED+stock+assessments+part+1.pdf/12842d0d-7761-4214-b2f7-7de7a4831ff7,2018,862,,NA,,170,Blue and red shrimp,STATUS,170,160.16,129888,0.42,F0.1,0.78712,37.1.1,Balearic,1.874095238,GSA1,37.1,Western Mediterranean,ARA_1_EWG18_12_2015,170,EWG18_12,a4a,1,129888,Aristeus antennatus,Northern Alboran Sea,160.16,OVERFISHING,Blue and red shrimp in SA 01,ARA_1_EWG18_12,ARA,170,24_01_2019,2015
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/2187146/STECF+18-12+-+2018+MED+stock+assessments+part+1.pdf/12842d0d-7761-4214-b2f7-7de7a4831ff7,2018,784,,NA,,138,Blue and red shrimp,STATUS,138,140.02,122913,0.42,F0.1,0.8467,37.1.1,Balearic,2.015952381,GSA1,37.1,Western Mediterranean,ARA_1_EWG18_12_2016,138,EWG18_12,a4a,1,122913,Aristeus antennatus,Northern Alboran Sea,140.02,OVERFISHING,Blue and red shrimp in SA 01,ARA_1_EWG18_12,ARA,138,24_01_2019,2016
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/2187146/STECF+18-12+-+2018+MED+stock+assessments+part+1.pdf/12842d0d-7761-4214-b2f7-7de7a4831ff7,2018,668,,NA,,99,Blue and red shrimp,STATUS,99,142.85,95643,0.42,F0.1,0.5748,37.1.1,Balearic,1.368571429,GSA1,37.1,Western Mediterranean,ARA_1_EWG18_12_2017,99,EWG18_12,a4a,1,95643,Aristeus antennatus,Northern Alboran Sea,142.85,OVERFISHING,Blue and red shrimp in SA 01,ARA_1_EWG18_12,ARA,99,24_01_2019,2017
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/1567060/STECF+17-06+-+Med+assessments+2016+-+part+2.pdf/,2016,816.9225249,,NA,,185.345377,Deep-water rose shrimp,STATUS,185.345377,140.7542273,201742.6062,0.87,F0.1,1.353026825,37.1.1,Balearic,1.555203247,GSA1,37.1,Western Mediterranean,DPS_1_EWG16_17_2003,185.345377,EWG16_17,XSA,1,201742.6062,Parapenaeus longirostris,Northern Alboran Sea,140.7542273,NO OVERFISHING,Deep-water rose shrimp in SA 01,DPS_1_EWG16_17,DPS,185.345377,10_05_2017,2003
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/1567060/STECF+17-06+-+Med+assessments+2016+-+part+2.pdf/,2016,486.4943149,,NA,,124.5838103,Deep-water rose shrimp,STATUS,124.5838103,87.2263402,146996.6202,0.87,F0.1,1.152794338,37.1.1,Balearic,1.325050964,GSA1,37.1,Western Mediterranean,DPS_1_EWG16_17_2004,124.5838103,EWG16_17,XSA,1,146996.6202,Parapenaeus longirostris,Northern Alboran Sea,87.2263402,NO OVERFISHING,Deep-water rose shrimp in SA 01,DPS_1_EWG16_17,DPS,124.5838103,10_05_2017,2004
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/1567060/STECF+17-06+-+Med+assessments+2016+-+part+2.pdf/,2016,364.7261243,,NA,,111.4341564,Deep-water rose shrimp,STATUS,111.4341564,68.1408239,98905.45762,0.87,F0.1,1.211063253,37.1.1,Balearic,1.392026727,GSA1,37.1,Western Mediterranean,DPS_1_EWG16_17_2005,111.4341564,EWG16_17,XSA,1,98905.45762,Parapenaeus longirostris,Northern Alboran Sea,68.1408239,NO OVERFISHING,Deep-water rose shrimp in SA 01,DPS_1_EWG16_17,DPS,111.4341564,10_05_2017,2005
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/1567060/STECF+17-06+-+Med+assessments+2016+-+part+2.pdf/,2016,657.182701,,NA,,37.12590343,Deep-water rose shrimp,STATUS,37.12590343,49.06962029,246648.2132,0.87,F0.1,0.633382277,37.1.1,Balearic,0.728025606,GSA1,37.1,Western Mediterranean,DPS_1_EWG16_17_2006,37.12590343,EWG16_17,XSA,1,246648.2132,Parapenaeus longirostris,Northern Alboran Sea,49.06962029,NO OVERFISHING,Deep-water rose shrimp in SA 01,DPS_1_EWG16_17,DPS,37.12590343,10_05_2017,2006
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/1567060/STECF+17-06+-+Med+assessments+2016+-+part+2.pdf/,2016,805.7307569,,NA,,54.52721814,Deep-water rose shrimp,STATUS,54.52721814,72.97740774,472092.8413,0.87,F0.1,0.581497951,37.1.1,Balearic,0.66838845,GSA1,37.1,Western Mediterranean,DPS_1_EWG16_17_2007,54.52721814,EWG16_17,XSA,1,472092.8413,Parapenaeus longirostris,Northern Alboran Sea,72.97740774,NO OVERFISHING,Deep-water rose shrimp in SA 01,DPS_1_EWG16_17,DPS,54.52721814,10_05_2017,2007
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/1567060/STECF+17-06+-+Med+assessments+2016+-+part+2.pdf/,2016,1304.296601,,NA,,108.7703914,Deep-water rose shrimp,STATUS,108.7703914,157.5720552,313978.1333,0.87,F0.1,0.627824715,37.1.1,Balearic,0.721637603,GSA1,37.1,Western Mediterranean,DPS_1_EWG16_17_2008,108.7703914,EWG16_17,XSA,1,313978.1333,Parapenaeus longirostris,Northern Alboran Sea,157.5720552,NO OVERFISHING,Deep-water rose shrimp in SA 01,DPS_1_EWG16_17,DPS,108.7703914,10_05_2017,2008
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/1567060/STECF+17-06+-+Med+assessments+2016+-+part+2.pdf/,2016,1452.522981,,NA,,255.670426,Deep-water rose shrimp,STATUS,255.670426,269.1564444,345243.4038,0.87,F0.1,1.037777705,37.1.1,Balearic,1.192847937,GSA1,37.1,Western Mediterranean,DPS_1_EWG16_17_2009,255.670426,EWG16_17,XSA,1,345243.4038,Parapenaeus longirostris,Northern Alboran Sea,269.1564444,NO OVERFISHING,Deep-water rose shrimp in SA 01,DPS_1_EWG16_17,DPS,255.670426,10_05_2017,2009
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/1567060/STECF+17-06+-+Med+assessments+2016+-+part+2.pdf/,2016,1086.693809,,NA,,98.39901397,Deep-water rose shrimp,STATUS,98.39901397,177.2430593,441227.9321,0.87,F0.1,0.713522605,37.1.1,Balearic,0.820140925,GSA1,37.1,Western Mediterranean,DPS_1_EWG16_17_2010,98.39901397,EWG16_17,XSA,1,441227.9321,Parapenaeus longirostris,Northern Alboran Sea,177.2430593,NO OVERFISHING,Deep-water rose shrimp in SA 01,DPS_1_EWG16_17,DPS,98.39901397,10_05_2017,2010
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/1567060/STECF+17-06+-+Med+assessments+2016+-+part+2.pdf/,2016,1210.012173,,NA,,172.9050727,Deep-water rose shrimp,STATUS,172.9050727,244.8822759,355541.5629,0.87,F0.1,0.9044262,37.1.1,Balearic,1.039570345,GSA1,37.1,Western Mediterranean,DPS_1_EWG16_17_2011,172.9050727,EWG16_17,XSA,1,355541.5629,Parapenaeus longirostris,Northern Alboran Sea,244.8822759,NO OVERFISHING,Deep-water rose shrimp in SA 01,DPS_1_EWG16_17,DPS,172.9050727,10_05_2017,2011
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/1567060/STECF+17-06+-+Med+assessments+2016+-+part+2.pdf/,2016,1066.543603,,NA,,249.3431563,Deep-water rose shrimp,STATUS,249.3431563,254.2720012,267279.6143,0.87,F0.1,0.868596211,37.1.1,Balearic,0.998386449,GSA1,37.1,Western Mediterranean,DPS_1_EWG16_17_2012,249.3431563,EWG16_17,XSA,1,267279.6143,Parapenaeus longirostris,Northern Alboran Sea,254.2720012,NO OVERFISHING,Deep-water rose shrimp in SA 01,DPS_1_EWG16_17,DPS,249.3431563,10_05_2017,2012
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/1567060/STECF+17-06+-+Med+assessments+2016+-+part+2.pdf/,2016,703.6677207,,NA,,149.9903123,Deep-water rose shrimp,STATUS,149.9903123,174.6262082,189744.0551,0.87,F0.1,1.071718203,37.1.1,Balearic,1.231860003,GSA1,37.1,Western Mediterranean,DPS_1_EWG16_17_2013,149.9903123,EWG16_17,XSA,1,189744.0551,Parapenaeus longirostris,Northern Alboran Sea,174.6262082,NO OVERFISHING,Deep-water rose shrimp in SA 01,DPS_1_EWG16_17,DPS,149.9903123,10_05_2017,2013
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/1567060/STECF+17-06+-+Med+assessments+2016+-+part+2.pdf/,2016,622.148185,,NA,,107.956077,Deep-water rose shrimp,STATUS,107.956077,121.0035961,245658.7787,0.87,F0.1,0.790394689,37.1.1,Balearic,0.908499643,GSA1,37.1,Western Mediterranean,DPS_1_EWG16_17_2014,107.956077,EWG16_17,XSA,1,245658.7787,Parapenaeus longirostris,Northern Alboran Sea,121.0035961,NO OVERFISHING,Deep-water rose shrimp in SA 01,DPS_1_EWG16_17,DPS,107.956077,10_05_2017,2014
SA 01,1,https://stecf.jrc.ec.europa.eu/documents/43805/1567060/STECF+17-06+-+Med+assessments+2016+-+part+2.pdf/,2016,701.1108493,,NA,,113.9062323,Deep-water rose shrimp,STATUS,113.9062323,127.1193865,290242.6271,0.87,F0.1,0.779804631,37.1.1,Balearic,0.896327162,GSA1,37.1,Western Mediterranean,DPS_1_EWG16_17_2015,113.9062323,EWG16_17,XSA,1,290242.6271,Parapenaeus longirostris,Northern Alboran Sea,127.1193865,NO OVERFISHING,Deep-water rose shrimp in SA 01,DPS_1_EWG16_17,DPS,113.9062323,10_05_2017,2015
SA 01 SA 05 SA 06 SA 07,01_05_06_07,https://stecf.jrc.ec.europa.eu/documents/43805/2187146/STECF+18-12+-+2018+MED+stock+assessments+part+1.pdf/12842d0d-7761-4214-b2f7-7de7a4831ff7,2018,11380.9,,NA,,4687,European hake,STATUS,4687,4241,261362,0.23,F0.1,1.01,37.1.1,Balearic,4.391304348,GSA1,37.1,Western Mediterranean,HKE_1_5_6_7_EWG18_12_2007,,EWG18_12,a4a,1,261362,Merluccius merluccius,Northern Alboran Sea,4241,OVERFISHING,European hake in SA 01,HKE_1_5_6_7_EWG18_12,HKE,4687,24_01_2019,2007
SA 01 SA 05 SA 06 SA 07,01_05_06_07,https://stecf.jrc.ec.europa.eu/documents/43805/2187146/STECF+18-12+-+2018+MED+stock+assessments+part+1.pdf/12842d0d-7761-4214-b2f7-7de7a4831ff7,2018,13326.8,,NA,,6637,European hake,STATUS,6637,4651,294470,0.23,F0.1,1.26,37.1.1,Balearic,5.47826087,GSA1,37.1,Western Mediterranean,HKE_1_5_6_7_EWG18_12_2008,,EWG18_12,a4a,1,294470,Merluccius merluccius,Northern Alboran Sea,4651,OVERFISHING,European hake in SA 01,HKE_1_5_6_7_EWG18_12,HKE,6637,24_01_2019,2008
SA 01 SA 05 SA 06 SA 07,01_05_06_07,https://stecf.jrc.ec.europa.eu/documents/43805/2187146/STECF+18-12+-+2018+MED+stock+assessments+part+1.pdf/12842d0d-7761-4214-b2f7-7de7a4831ff7,2018,13782.9,,NA,,6924,European hake,STATUS,6924,5150,271079,0.23,F0.1,1.33,37.1.1,Balearic,5.782608696,GSA1,37.1,Western Mediterranean,HKE_1_5_6_7_EWG18_12_2009,,EWG18_12,a4a,1,271079,Merluccius merluccius,Northern Alboran Sea,5150,OVERFISHING,European hake in SA 01,HKE_1_5_6_7_EWG18_12,HKE,6924,24_01_2019,2009
SA 01 SA 05 SA 06 SA 07,01_05_06_07,https://stecf.jrc.ec.europa.eu/documents/43805/2187146/STECF+18-12+-+2018+MED+stock+assessments+part+1.pdf/12842d0d-7761-4214-b2f7-7de7a4831ff7,2018,11191,,NA,,5852,European hake,STATUS,5852,4443,169047,0.23,F0.1,1.28,37.1.1,Balearic,5.565217391,GSA1,37.1,Western Mediterranean,HKE_1_5_6_7_EWG18_12_2010,,EWG18_12,a4a,1,169047,Merluccius merluccius,Northern Alboran Sea,4443,OVERFISHING,European hake in SA 01,HKE_1_5_6_7_EWG18_12,HKE,5852,24_01_2019,2010
SA 01 SA 05 SA 06 SA 07,01_05_06_07,https://stecf.jrc.ec.europa.eu/documents/43805/2187146/STECF+18-12+-+2018+MED+stock+assessments+part+1.pdf/12842d0d-7761-4214-b2f7-7de7a4831ff7,2018,11085.7,,NA,,4944,European hake,STATUS,4944,3817,174840,0.23,F0.1,1.26,37.1.1,Balearic,5.47826087,GSA1,37.1,Western Mediterranean,HKE_1_5_6_7_EWG18_12_2011,,EWG18_12,a4a,1,174840,Merluccius merluccius,Northern Alboran Sea,3817,OVERFISHING,European hake in SA 01,HKE_1_5_6_7_EWG18_12,HKE,4944,24_01_2019,2011
SA 01 SA 05 SA 06 SA 07,01_05_06_07,https://stecf.jrc.ec.europa.eu/documents/43805/2187146/STECF+18-12+-+2018+MED+stock+assessments+part+1.pdf/12842d0d-7761-4214-b2f7-7de7a4831ff7,2018,11023.8,,NA,,4777,European hake,STATUS,4777,3429,189506,0.23,F0.1,1.29,37.1.1,Balearic,5.608695652,GSA1,37.1,Western Mediterranean,HKE_1_5_6_7_EWG18_12_2012,,EWG18_12,a4a,1,189506,Merluccius merluccius,Northern Alboran Sea,3429,OVERFISHING,European hake in SA 01,HKE_1_5_6_7_EWG18_12,HKE,4777,24_01_2019,2012
SA 01 SA 05 SA 06 SA 07,01_05_06_07,https://stecf.jrc.ec.europa.eu/documents/43805/2187146/STECF+18-12+-+2018+MED+stock+assessments+part+1.pdf/12842d0d-7761-4214-b2f7-7de7a4831ff7,2018,10566.3,,NA,,5356,European hake,STATUS,5356,3636,141602,0.23,F0.1,1.37,37.1.1,Balearic,5.956521739,GSA1,37.1,Western Mediterranean,HKE_1_5_6_7_EWG18_12_2013,,EWG18_12,a4a,1,141602,Merluccius merluccius,Northern Alboran Sea,3636,OVERFISHING,European hake in SA 01,HKE_1_5_6_7_EWG18_12,HKE,5356,24_01_2019,2013
SA 01 SA 05 SA 06 SA 07,01_05_06_07,https://stecf.jrc.ec.europa.eu/documents/43805/2187146/STECF+18-12+-+2018+MED+stock+assessments+part+1.pdf/12842d0d-7761-4214-b2f7-7de7a4831ff7,2018,8397.5,,NA,,4574,European hake,STATUS,4574,3271,121466,0.23,F0.1,1.43,37.1.1,Balearic,6.217391304,GSA1,37.1,Western Mediterranean,HKE_1_5_6_7_EWG18_12_2014,,EWG18_12,a4a,1,121466,Merluccius merluccius,Northern Alboran Sea,3271,OVERFISHING,European hake in SA 01,HKE_1_5_6_7_EWG18_12,HKE,4574,24_01_2019,2014
